objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,color,camera,accessmode,edits,genre,depth
coll001,001_peeking.jpeg,,,Peeking,Rebecca Zarrella,2010-06-17,"A close-up photo of three dianthus flowers, with one of the flowers pointing upwards toward the sky and the other two pointing off to the sides. The flower pointing upwards is the main focus of the photo, as it is the flower the viewer can see in the most detail. The dianthus flowers are a combination of pink and purple with white on the ends of slightly-jagged petals, and the colors are a cool tone due to the editing of the photo. The pistil, which is a collection of slender, white stalks, emerges from the center of the flower and curls upward slightly. The background of the photo includes other dianthus flowers, but they are blurry, as the depth of the photo is shallow to focus on the three main flowers that are the subject. A small bit of yellowish light peeks out from the blurry background.",Nature;Plants;Flowers,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,1,Image;Still Image;Photograph,image/jpeg,English,,,Pink;Purple;White,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Blurry
coll002,002_morninglight.jpeg,,,Morning Light,Rebecca Zarrella,2010-12-03,"A close-up photo of a moonbeam threadleaf coreopsis flower, also known as tickseed. This flower is part of the daisy family. Its eight petals are a very light yellow that look almost white, and in the center of the flower are clusters of black and a darker yellow. The petals have a few black spots, indicating that the flower may be aged. The background of the photo is blurry, but the viewer can make out some dark green leaves. The flower is pointing upward toward the sky, and since the viewer cannot see the stem, it almost appears to be floating on the blurry, green background.",Nature;Plants;Flowers,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,2,Image;Still Image;Photograph,image/jpeg,English,,,Yellow;White;Green,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Blurry
coll003,003_fallen.jpeg,,,Fallen,Rebecca Zarrella,2010-03-21,"A close-up photo of a red cherry with a brown stem. The cherry lies on a bed of brown, bark-like dirt. The cherry appears to have fallen from a tree and landed on the ground. The cherry's stem and the background are slightly blurry to bring the viewer's attention to the red part of the cherry. A small patch of white light shines off the top of the cherry.",Nature;Fruit,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,3,Image;Still Image;Photograph,image/jpeg,English,,,Red;Brown,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Clear
coll004,004_blossoms.jpeg,,,Blossoms,Rebecca Zarrella,2010-04-01,"A photo of two cherry clossoms that have sprouted from the same branch node. The depth of this photo is shallow, as the background is blurry to enhance the blossoms. The background is a blur of a blue sky, green grass, and brown tree branches. The blossoms are white and the pistil, which is a collection of slender, stalks sprouting from the middle of the flowers, are bright yellow. A pink bud pokes out from behind one of the two blossoms, evoking the sentiment that it will blossom soon to join the other flowers. ",Nature;Plants;Flowers,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,4,Image;Still Image;Photograph,image/jpeg,English,,,White;Yellow;Pink;Blue,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Blurry
coll005,005_somethingold.jpeg,,,Something Old,Rebecca Zarrella,2011-04-13,"A photo of a red ribbon with white stars and white streaks running through the fabric. The ribbon is affixed to a plank of dark gray wood, which is attached with a loop of black wire to a piece of light gray wood. The ribbon and the wood are slightly off-center, so that the viewer sees a diagonal portion of mostly one side of the ribbon. The ribbon and the wood look old and worn, as the viewer can see cracks in the wood and white lines running through the fabric of the ribbon. The tone of this photo is cool due to the editing, which adds to the worn effect of the subject.",Outdoor;Objects,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,5,Image;Still Image;Photograph,image/jpeg,English,,,Red;White;Gray,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Clear
coll006,006_octo.jpeg,,,Octo,Rebecca Zarrella,2011-03-14,"A close-up photo of an octopus's suckers filling up the right side of the frame, with the head of the octopus in the background to the left. The octopus has attached its suckers to the glass of its aquarium so that the insides of its suckers are visible. The color of the octopus's body is a blend of pink and purple, while the suckers that appear affixed to the lens are bright white. The skin in between the octopus's suckers is the same pink-purple color as the rest of its body. The background is black to emphasize the octopus's body. Both the suckers and the head of the octopus are clear, with the head just slightly blurrier than the suckers.",Animals;Octopus;Octopi,"Baltimore, MD;Baltimore, M.D.;Baltimore, MD.;Baltimore, Maryland",39.2855643,-76.6085012,Original,6,Image;Still Image;Photograph,image/jpeg,English,,,Pink;Purple,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Clear
coll007,007_cling.jpeg,,,Cling,Rebecca Zarrella,2011-02-13,"A close-up, birds-eye view photo of a brown moth with black antennae crawling on a piece of white fabric. The moth is mostly dark brown, with parts of its wings being a light brown. The moth's wings cast a long shadow on the white background. The color of this photo is warm due to the editing.",Animals;Moths,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,7,Image;Still Image;Photograph,image/jpeg,English,,,Brown;Black;White,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Clear
coll008,008_clingii.jpeg,,,Cling II,Rebecca Zarrella,2011-02-13,"A close-up photo of a moth, focusing on one side of its body, with the moth's head pointing toward a distance to the left. This photo is black and white, or monochrome. The moth's body is black with a large white spot on the wing and a smaller gray spot above it. The observer has a clear view of the moth's fuzzy, black legs and long, pointy, black antennae. The moth is crawling on a piece of white fabric that looks slightly gray due to the monochrome nature of the photo.",Animals;Moths,"Frederick, MD;Frederick, M.D.;Frederick, MD.;Frederick, Maryland",39.3254812,-77.256722,Original,8,Image;Still Image;Photograph,image/jpeg,English,,,Black;White;Monochrome,Canon Powershot SD750,Visual;Textual,PaintShop Pro 8,Close-Up,Clear
coll009,009_teddy.jpeg,,,Teddy,Rebecca Zarrella,2020-05-22,"A photo of a brown dog with brown eyes, a black nose, and a gray muzzle. The dog’s name is Teddy. Teddy has black lines above his eyes that look like eyebrows. The top of his ears are a light brown and they gradually turn a dark brown color toward the tips of his ears. He is sitting on a brown couch that is darker than his fur. He is gazing at a point near the camera with a serene expression and almost appears to be smiling slightly. The lighting is warm to evoke a cozy effect.",Animals;Dogs,"Clarksburg, MD;Clarksburg, M.D.;Clarksburg, MD.;Clarksburg, Maryland",39.2351223,-77.2513392,Original,9,Image;Still Image;Photograph,image/jpeg,English,,,Brown;Black,Canon EOS Rebel T5i,Visual;Textual,Adobe Lightroom,Portrait,Clear
coll010,010_blurrychristmas.jpeg,,,Blurry Christmas,Rebecca Zarrella,2020-11-11,"A photo of a string of Christmas lights in blue, green, yellow, and red. The photo is dark and most of the lights are blurry so that they look like small, colored circles instead of bulbs. Only one bulb is in focus. The color of the bulb in focus is red, and it is pointing downward. The background is a wall that appears mostly black with some spots of reddish, yellowish light that are cast from the lights in the background.",Indoor;Objects,"Clarksburg, MD;Clarksburg, M.D.;Clarksburg, MD.;Clarksburg, Maryland",39.2351223,-77.2513392,Original,10,Image;Still Image;Photograph,image/jpeg,English,,,Red;Blue;Green;Black,Canon EOS Rebel T5i,Visual;Textual,Adobe Lightroom,Close-Up,Blurry
